Aliment                           | Calories   | Protéines  | Glucides   | Lipides   
---------------------------------------------------------------------------------------------
Abats divers (frits)              |        270 |         16 |          0 |         22
Abricot                           |         48 |        0.5 |       11.1 |        0.1
Abricots au sirop léger           |       69.5 |        0.5 |         16 |        0.1
Agneau (grillé)                   |        294 |         25 |          0 |         21
Ail en poudre                     |        331 |       16.6 |       72.7 |        0.7
Ail                               |        149 |        6.4 |       33.1 |        0.5
Airelles                          |         66 |        0.5 |         15 |        0.5
Amande                            |        579 |         21 |         22 |         49
Amandes                           |        579 |       21.2 |       21.6 |       49.9
Amarante (cuit)                   |        102 |        3.8 |         19 |        1.6
Ananas au sirop léger             |         59 |        0.3 |         14 |        0.2
Ananas                            |         50 |        0.5 |       13.1 |        0.1
Ananas                            |         51 |        0.5 |         12 |        0.2
Anchois (en boîte)                |        200 |         20 |          0 |         13
Anguille                          |        255 |       18.5 |          0 |         21
Artichaut                         |         35 |          2 |        5.5 |        0.2
Artichaut                         |         47 |        3.3 |       10.5 |        0.2
Asperge                           |         25 |        2.2 |          3 |        0.2
Asperges                          |         20 |        2.2 |        3.9 |        0.1
Aubergine                         |         24 |        1.2 |          5 |        0.2
Aubergine                         |         25 |          1 |          6 |        0.2
Autres vinaigres                  |         20 |        0.0 |          5 |        0.0
Avocat                            |        160 |          2 |          9 |         15
Avoine (crue)                     |        380 |         13 |         66 |          7
Avoine (cuite)                    |        145 |          4 |         25 |        2.5
Avoine (flocon)                   |        389 |         11 |       66.3 |          7
Avoine (son)                      |        246 |       17.3 |       66.2 |       7.03
Avoine                            |        360 |         14 |         55 |          7
Bacon (cuit)                      |        541 |         37 |        0.1 |         42
Bacon                             |        342 |       23.5 |       0.75 |       27.5
Baguette                          |      255.5 |       9.25 |         54 |       1.25
Banane                            |         89 |        1.1 |       22.8 |        0.3
Barre chocolatée                  |        520 |          8 |         60 |         30
Barre céréalière                  |        400 |          5 |         67 |         16
Barre diététique                  |        270 |          3 |         28 |         20
Barre énergétique                 |        470 |          6 |         58 |         27
Basilic                           |         23 |        3.2 |        2.7 |        0.6
Betterave                         |         43 |        1.6 |        9.6 |        0.2
Beurre allégé                     |        405 |          1 |        3.5 |         41
Beurre d'arachide                 |        600 |         25 |         10 |         51
Beurre de cacahuètes              |        588 |       25.1 |       20.9 |       50.0
Beurre                            |        717 |        0.9 |        0.1 |       81.1
Beurre                            |        738 |       0.25 |       0.25 |         82
Bigarreaux                        |         77 |          1 |         17 |        0.5
Biscotte                          |      408.5 |       10.5 |         73 |        4.5
Biscuit petit - déjeuner          |        400 |          7 |         67 |         16
Biscuit sec                       |        470 |          6 |         68 |         20
Bière sans alcool                 |         17 |        0.5 |        3.6 |          0
Bière                             |         43 |        0.5 |        3.6 |          0
Blette                            |         26 |        2.1 |        3.5 |        0.3
Bleuet                            |         42 |        0.7 |       10.2 |        0.6
Blé (cru)                         |        340 |         12 |         71 |          1
Blé (cuit)                        |        140 |          5 |         30 |        0.5
Blé (germes)                      |        330 |         26 |         34 |        2.5
Blé soufflé sucré                 |        400 |          8 |       87.5 |          2
Blé                               |        335 |         16 |       74.5 |        1.5
Boudin blanc                      |        303 |       17.5 |          1 |         24
Boudin noir                       |      353.5 |         15 |        3.5 |         32
Boulghour                         |         83 |        3.1 |       18.6 |        0.2
Boulgour (cru)                    |        350 |         12 |         73 |          1
Boulgour (cuit)                   |         85 |          3 |         18 |        0.2
Brandade de morue                 |        170 |         18 |          5 |         10
Bricks                            |        345 |         10 |         75 |        0.5
Brie                              |        300 |         20 |          0 |         25
Brioche                           |        315 |        7.5 |         54 |        7.6
Brocoli                           |         33 |        3.6 |        2.5 |        0.2
Brocoli                           |         34 |        2.8 |          7 |        0.4
Brownie                           |        400 |          4 |         63 |         26
Brugnon ou nectarine              |         54 |          1 |       12.5 |        0.0
Bœuf (grillé)                     |        250 |         26 |          0 |         15
Bœuf bouilli                      |        170 |         29 |          0 |          7
Bœuf braisé                       |        225 |         32 |          2 |          8
Bœuf en daube                     |        168 |         27 |        3.5 |          6
Bœuf rôti                         |        190 |         31 |          0 |          7
Bœuf sauce tomate                 |        118 |         17 |        4.5 |          3
Bœuf sauté aux oignons            |        132 |         17 |          4 |          5
Cabillaud                         |         70 |         16 |          0 |        0.5
Cabillaud                         |         82 |       18.5 |          0 |        0.7
Cacahuète (beurre)                |        588 |         25 |         16 |         50
Cacahuètes                        |        567 |       25.8 |       16.1 |       49.2
Cacahuètes                        |        567 |         26 |         16 |         49
Café non sucré                    |          0 |        0.0 |        0.0 |        0.0
Cake                              |        376 |        5.5 |         59 |         16
Calamar                           |         82 |         16 |          0 |        1.5
Canard (grillé)                   |        337 |         19 |          0 |       28.3
Canard rôti                       |        337 |         27 |          0 |         25
Canneberge                        |         46 |        0.4 |       12.2 |        0.1
Cantal                            |        350 |         25 |          0 |         28
Carambole                         |         31 |          1 |        6.7 |        0.3
Caramel (100 g)                   |        350 |        0.0 |         81 |        0.0
Carbonade                         |        185 |         27 |          5 |          6
Carotte                           |         36 |        0.6 |        6.5 |        0.2
Carottes Vichy                    |         41 |        0.9 |        9.6 |        0.2
Carpe                             |        120 |         19 |          0 |          5
Cassis                            |         41 |        1.3 |          9 |        0.0
Cassis                            |         63 |        1.4 |       15.4 |        0.4
Cassoulet                         |        155 |         15 |          7 |          9
Cerise                            |         50 |          1 |         12 |        0.3
Cerise                            |         77 |          1 |         17 |        0.5
Cervelle                          |        143 |         11 |          0 |         10
Champignon                        |         22 |        3.5 |        0.5 |        0.0
Champignons                       |         22 |        3.1 |        3.3 |        0.3
Chapelure                         |        370 |         12 |         73 |          2
Chapon                            |        205 |       27.5 |          0 |         10
Chausson aux pommes               |        390 |        1.3 |         74 |        9.7
Cheeseburger                      |        406 |         20 |         23 |         26
Cheval                            |        112 |         21 |          0 |          3
Chipolata                         |        350 |         14 |        0.8 |         30
Chips de légumes                  |        500 |          4 |         57 |         28
Chips de maïs                     |        520 |          6 |         51 |         31
Chips de patates douces           |        530 |          6 |         54 |         34
Chips de pomme                    |        300 |          1 |         70 |          1
Chips de pommes de terre          |        540 |          6 |         52 |         34
Chips                             |        582 |        5.5 |         50 |         40
Chocolat (100 g)                  |        545 |          5 |         56 |         32
Chocolat au lait (100 g)          |        540 |          8 |         57 |         29
Chocolat blanc (100 g)            |        590 |          7 |         56 |         32
Chou blanc                        |         20 |          2 |          3 |        0.1
Chou de Bruxelles                 |         40 |          4 |          3 |        0.4
Chou rouge                        |         31 |        1.4 |        7.4 |        0.2
Chou-fleur                        |         25 |        1.9 |        4.9 |        0.3
Chou                              |         20 |          2 |          3 |        0.1
Choucroute garnie                 |        117 |         14 |          5 |          4
Choucroute                        |         20 |          2 |          3 |        0.1
Choux de Bruxelles                |         43 |        3.4 |       8.95 |       0.37
Choux divers                      |         20 |          2 |          3 |        0.1
Châtaigne                         |        180 |          2 |       36.5 |          3
Châtaigne                         |        213 |        2.4 |       45.5 |        2.2
Chèvre                            |        400 |         25 |          0 |         35
